temperature,humidity,persons,monthly_target,AC_count,AC_usage,AC_days,fan_count,fan_usage,fan_days,fridge_count,fridge_usage,fridge_days,washing_machine_count,washing_machine_usage,washing_machine_days,TV_count,TV_usage,TV_days,light_count,light_usage,light_days,wifi_count,wifi_usage,wifi_days,other_count,other_usage,other_days,energy_usage
24.36350297,75.49579176,3,295.3775762,0,5.104601313,12,2,4.451066637,27,2,0.910118069,12,2,9.61103875,4,2,1.998209203,17,0,3.741057373,27,0,0.726108526,12,2,2.046689476,5,256.9133492
38.76785766,31.47521499,3,179.3394368,1,2.587924084,4,1,1.131359377,0,0,2.310361379,10,1,1.868344999,8,1,8.110161103,6,0,3.749477172,25,2,2.433832793,11,2,8.588775763,7,11.9207734
33.29984855,31.32741309,3,229.1155098,0,3.164571309,1,1,3.513789668,10,0,0.465799421,18,1,3.512783725,5,0,1.571824716,20,0,1.330866392,15,2,0.195292803,13,2,3.01026087,17,160.3399453
29.9664621,49.41661315,1,402.7058788,1,0.869670203,8,0,9.982224506,25,2,7.051131466,7,0,5.727552333,16,0,2.104622171,16,1,9.407467231,20,1,2.454105921,12,1,9.409989278,16,176.6484239
18.90046601,59.31859142,1,316.5815557,1,3.032197838,29,0,8.888425117,22,0,8.502987366,6,0,8.679637699,18,1,3.660133918,27,0,7.504943845,30,0,6.549763231,24,1,2.810651489,25,64.24689411
18.89986301,76.22444507,5,487.1513415,0,9.665584394,10,0,0.483244089,17,1,4.340710818,24,0,9.293485247,22,2,8.803481959,11,2,0.012434389,27,0,0.611070785,8,1,9.268485432,9,286.5410449
16.4520903,70.9977226,2,526.2924775,2,9.447073817,23,2,5.632558438,15,1,9.28522075,15,0,3.360363308,7,2,1.317866686,15,2,7.65613284,6,0,4.367366778,13,0,9.637907145,1,842.25627
36.65440364,56.75416238,4,370.8232091,2,3.348782901,5,0,6.478223048,28,2,5.902990718,2,1,0.671084615,6,1,1.222341929,23,0,7.397949927,5,1,9.131087869,0,2,1.454913575,11,244.063775
30.02787529,46.41759998,4,479.133646,2,5.708539363,28,2,2.09534624,26,1,6.300071354,16,2,4.216196979,4,2,4.939749883,9,1,0.097309602,8,2,7.912848289,8,0,9.744998833,19,809.8079067
32.70181444,89.82747001,1,253.4522566,1,9.095953911,25,0,1.451055734,17,2,8.454192017,17,2,3.943441432,14,2,2.764105411,22,1,3.696042976,6,0,3.054375023,3,2,0.857229684,9,776.4862275
15.51461236,55.57087813,4,307.4856077,1,0.061838226,6,1,9.043811347,7,1,2.968002051,27,0,9.864870679,9,2,5.687279416,15,1,6.067476903,2,0,9.248054792,27,1,2.185677866,8,352.5821794
39.2477463,57.08322146,1,456.3888381,1,8.106835703,24,1,9.688164415,27,2,3.542657213,26,0,4.310612443,23,1,4.516366847,19,2,4.527506519,10,0,3.296464967,11,0,4.441687809,15,908.5213101
35.81106602,39.81742927,5,293.1059964,0,9.483695528,6,2,9.918928573,9,1,9.059519192,14,1,3.057229993,15,0,4.349591064,17,1,7.779861187,26,0,0.725154963,23,0,9.935973657,6,401.947102
20.30847777,77.68857292,2,394.2524676,1,0.913257343,18,1,7.897617737,25,1,9.00963496,27,0,3.653773745,8,0,1.119729705,14,1,4.254583326,11,1,9.940559568,28,2,4.885630512,8,779.5876155
19.54562418,71.62093355,5,192.6863895,0,1.61447686,5,2,6.635020694,9,0,9.764827762,16,2,3.969262806,6,0,1.410496902,22,0,1.538629695,20,2,8.700225272,13,0,5.504094432,24,413.6511027
19.58511275,43.24617677,3,399.8856575,0,9.607463028,10,2,3.457302522,4,0,9.018383164,10,0,8.215403822,10,0,8.210785774,10,1,9.764156243,24,0,4.659327833,8,0,6.944249495,24,124.7635267
22.60605607,34.94286274,3,530.7568536,2,5.375401436,28,1,1.713983123,9,0,1.27372036,4,2,0.810148928,8,0,8.858827376,17,1,2.420399928,10,0,6.663765242,2,1,9.682935583,23,612.9093438
28.11891079,70.82995812,3,534.3198199,2,0.141966345,10,2,0.789805994,17,0,8.237242861,15,0,3.165070489,16,2,2.346835329,5,1,7.176923105,28,2,6.712280779,5,2,7.833514001,5,249.9006421
25.79862547,69.27067286,5,462.1722032,2,2.576319988,6,1,6.932974686,20,0,4.098384781,14,0,9.663184919,29,2,1.134605015,0,0,1.431563117,30,1,1.944822307,2,0,2.241540044,29,44.58693845
22.2807285,46.39557162,4,472.8766895,0,4.499436743,1,0,7.847234152,23,0,9.908013559,9,2,1.531025048,8,2,0.534166719,29,0,3.290126138,25,1,2.000486332,0,1,3.029909307,26,76.53662628
30.29632237,87.05181374,2,378.9637226,0,6.92908911,18,0,8.264536525,5,2,4.722809643,13,1,7.426013215,2,1,6.082976137,22,1,4.420276084,29,1,4.695807034,25,0,0.976282396,9,222.8682742
18.48734652,39.06347351,3,392.3340451,0,7.331603781,3,1,9.137650033,2,2,5.538360825,1,1,3.563935012,21,2,7.153532125,6,2,1.922320045,1,1,9.115731401,21,1,6.444523642,6,106.6921564
22.30361621,55.94008806,3,166.8252907,1,9.954215129,25,1,8.799295636,7,0,5.297749153,15,0,5.817855262,7,0,3.728099892,11,2,4.499595764,0,0,0.099937749,20,0,1.807403065,30,434.7198044
24.15904608,86.61695521,3,321.9295942,0,2.875111994,5,1,9.997412723,30,2,3.217370299,18,0,0.995480385,18,2,6.796758675,19,0,1.57162823,26,2,7.825056359,2,1,2.574048885,17,538.3767713
26.40174961,55.18363902,2,325.3881419,2,5.382201019,16,1,2.44064011,29,0,0.750220889,7,2,3.064116674,19,0,7.129588156,3,1,5.59006539,23,2,0.575267837,29,1,8.881136552,10,324.3296673
34.62939903,68.31155686,3,579.2489178,2,5.333235479,24,0,7.633076152,8,2,8.956512304,14,2,5.008649417,15,2,9.353422814,30,2,6.637132525,23,2,4.782221149,13,2,3.267556753,0,1266.625441
19.99184455,53.85566388,2,315.5434313,0,4.056452594,4,2,5.864595124,4,1,8.026758125,9,0,2.317006582,6,0,0.648736378,9,1,0.62434284,1,1,6.378728331,19,1,5.666467184,28,139.4201957
27.85586096,46.45291214,3,374.6713225,0,1.691618938,28,2,2.612451325,28,2,1.395267806,29,2,5.418699431,27,2,1.922917232,20,0,8.711321211,13,1,6.867592671,1,0,3.975660088,20,686.3819825
29.81036422,89.03865888,5,366.6256996,2,9.774565632,27,0,9.819053223,1,2,7.767682714,4,1,2.197593141,6,0,0.685259876,1,2,1.85140885,12,2,0.584792636,11,1,0.740312874,23,1013.372139
16.16126032,54.56004038,5,418.3808585,0,8.533171867,29,2,8.978981048,1,2,6.258466661,19,1,6.501005527,19,0,8.679939333,8,0,2.253624253,23,0,4.186036174,25,1,3.628638299,18,344.2022547
30.1886213,83.64595222,2,474.1164157,2,4.983330283,6,0,1.285156684,6,1,4.091437879,15,2,9.043543403,24,1,7.9258716,9,1,6.613498401,4,1,5.838372605,9,0,4.08068203,22,782.8204383
19.26310309,43.79727635,5,212.5209381,1,6.032454227,8,2,0.261583423,16,0,2.540211491,20,2,0.854886374,12,2,5.746420706,19,0,4.687510604,1,0,0.660455373,12,0,8.957011019,4,262.380787
16.62628982,42.78628224,2,364.3622095,2,2.272610536,24,1,6.883307623,9,2,8.597287835,25,2,2.166160358,2,0,0.836634101,10,0,4.993955992,22,2,1.350945566,29,1,3.244506536,27,740.2927226
38.72213843,31.86804497,5,512.9588537,1,5.437870704,0,1,6.041306289,11,2,7.001882593,21,1,8.444230273,11,2,2.733123587,24,0,1.281549846,22,1,6.636489895,19,0,3.792411198,25,538.5406401
39.14080083,69.10000952,5,331.5573569,0,6.949701331,30,1,9.358156241,1,1,5.477399095,11,0,6.315534854,23,0,2.977198481,13,0,8.057358219,18,0,5.216381966,3,1,7.828967687,28,-13.05533732
35.2099337,52.11158062,2,239.2287732,0,5.151670284,0,0,2.340052872,9,0,6.095685339,22,2,0.787089171,7,1,5.60743196,2,2,6.170542461,29,1,1.618286613,18,1,7.589566512,23,25.47616991
22.61534423,81.86149499,4,427.3545377,1,9.902851706,18,0,0.843879479,19,2,0.910661821,29,2,4.863501151,12,1,2.58043894,24,1,1.353820433,16,2,5.352393369,21,1,7.982852766,5,351.1853285
17.44180285,58.3925944,5,511.8836979,0,6.113416562,5,2,2.592153338,0,1,4.739197609,12,2,2.09758515,19,1,0.729598639,0,2,3.73999367,10,2,9.126923734,0,0,9.537707401,21,172.4808162
32.10582566,88.09160567,3,131.5701465,1,3.709737126,17,2,0.189276405,3,0,1.937002928,8,0,1.990963941,15,1,7.307623019,6,1,8.104099327,15,2,0.155875848,24,2,7.955574984,6,-41.06425743
26.00381234,41.13153094,4,488.3952417,0,7.721520276,9,2,0.358927512,12,0,2.08383679,16,2,9.406453434,6,0,2.990802117,3,1,5.68355046,19,0,6.426337735,10,2,4.076082032,22,83.44825689
18.05095587,82.11739008,2,510.8239665,2,1.704625116,27,0,9.148578059,11,2,6.613039623,19,2,7.615415481,3,2,4.52374177,6,1,1.086487791,17,1,0.736504346,25,1,8.215085169,3,589.8372721
27.37942275,76.59581117,4,330.7614638,0,3.845158137,10,2,3.520165825,10,2,9.112561518,27,1,6.962305935,28,1,1.27666635,15,1,3.727770458,19,1,0.06449443,15,1,5.086746321,25,1034.821326
15.85971303,76.25531068,1,591.6528284,2,3.469589504,0,1,4.10809001,28,2,4.037566105,11,2,2.389288171,11,1,8.025483034,29,1,2.426943985,7,1,1.506544887,18,0,2.777140325,15,263.2254816
37.73301005,80.68699369,1,493.3541704,2,4.318070951,0,2,0.183716545,9,2,2.07749273,24,1,1.18573433,16,1,5.655318769,9,2,5.174655537,1,2,4.229066319,18,2,3.029170681,27,277.6021485
21.46949954,75.66143946,5,486.8312824,1,7.817798259,12,1,2.705217802,14,1,6.487469372,4,0,8.708326213,0,2,9.015856262,14,1,8.433611289,16,0,8.02343999,11,2,2.238423886,9,341.9226543
31.56305711,67.5732193,5,473.9192872,0,4.841730322,4,0,8.047259837,4,1,8.711870464,23,2,0.058795693,29,0,4.954715631,15,0,4.362671348,10,2,2.817854966,2,2,1.449929578,25,201.7410937
22.7927769,37.87469266,3,175.3040516,1,7.940144503,19,1,6.154909597,24,2,7.483188011,11,2,3.880964237,16,0,9.414256718,5,2,4.333420304,13,2,6.256732124,22,0,1.844904119,14,770.5420297
28.00170053,31.95157077,4,208.6154432,0,5.764889031,0,1,7.537806011,16,0,8.687572305,0,1,2.77612503,1,0,8.918682044,3,2,9.053509023,15,0,4.11156638,23,0,0.6317805,12,115.2569879
28.66775698,85.25087087,1,331.9950657,2,3.420694347,19,1,4.472137408,27,2,5.36554671,19,0,5.703762003,5,0,5.764598565,3,1,5.761854125,14,2,2.34331792,17,0,8.884508649,7,567.96349
19.62136139,66.99901887,5,232.002175,2,8.099787437,2,0,3.097292218,4,0,7.518762444,27,0,2.505084359,11,2,9.338934381,23,0,5.661910874,14,2,5.142471143,16,1,9.310078096,21,322.9507985
39.23961569,77.79223746,4,307.6204862,0,2.382896706,17,0,4.828100933,1,0,1.400645594,15,1,3.112053593,25,2,3.230887473,22,0,2.619098919,2,1,7.974644904,4,0,5.867703925,26,271.3186979
34.37832058,58.89134109,5,544.232055,0,2.243829798,8,0,3.230710684,8,0,3.482746154,29,0,8.50039855,10,2,3.656421627,3,1,6.077227478,25,0,8.324923701,15,1,8.404895566,12,204.3839361
38.48747354,37.03849134,5,512.1634459,1,5.045029241,13,0,8.389710967,5,1,3.895491645,11,0,6.031888234,20,1,0.454779513,26,1,5.759104674,6,0,8.465195319,23,1,1.835711027,23,110.4446022
37.37068376,37.51114753,1,415.0199392,0,2.60849246,30,2,2.976737156,17,0,5.112957462,8,0,1.456825273,10,2,5.892009068,21,0,3.968514703,28,1,3.385578126,13,1,9.016738252,6,191.9179644
29.94749947,71.13391723,1,529.0601971,0,0.09087035,26,0,6.597636405,13,0,9.290763603,12,0,7.264715435,17,0,7.219239699,21,2,9.906955659,11,0,7.934560647,18,1,5.063615596,16,153.9087955
38.04685588,55.81835369,5,491.8861945,0,6.482975273,16,1,1.369822223,18,1,8.742965602,16,0,2.074592015,7,2,7.735191902,16,2,8.818909649,21,1,2.121784551,5,0,0.671649926,3,406.4971438
17.21231255,42.0314836,2,314.4924659,1,5.110938215,22,0,6.868664937,13,0,1.345254923,16,0,4.330049301,24,1,1.49816286,12,1,7.495862901,21,2,7.384251012,2,0,1.413127445,6,302.2142656
19.89957156,59.4956728,5,200.532576,0,4.455178145,13,2,9.132997116,7,0,1.727896519,3,0,6.466072368,6,0,4.441590723,1,2,5.373455884,22,0,9.483844263,30,2,3.089764608,15,272.7084498
16.13068222,33.85253622,5,357.10052,2,9.669685146,28,2,6.085831546,16,2,3.576405496,13,0,2.719295375,27,2,1.768632121,19,2,4.620598019,23,0,0.137438347,5,2,0.435575804,24,1281.012204
23.13325827,64.91828411,3,468.1144413,1,5.71199184,3,2,5.5985538,27,0,2.907438659,18,2,3.841068147,13,0,6.621273489,5,0,1.848973952,2,2,4.403639312,11,1,3.09293378,1,395.8922408
24.71693224,46.13960427,3,318.2097994,1,8.634315778,4,1,9.61118268,2,0,6.147709532,6,1,7.341495973,15,0,1.579463724,21,2,3.05737474,18,2,6.477709884,19,2,0.599304331,30,146.804402
21.78372579,77.85354604,3,433.3859549,2,1.394502362,25,0,6.273965553,28,0,9.027760478,26,0,9.379109534,30,2,9.04163684,0,0,7.739607998,9,0,7.017757705,29,2,2.360276052,20,97.23717539
35.71843773,48.62171754,2,147.1637131,2,5.692064631,20,0,2.595504333,9,0,9.622915417,2,1,5.29245057,30,2,2.306346457,7,1,4.537489539,28,0,1.760877583,10,2,2.656697559,24,516.5804641
23.91883317,57.31320894,2,474.0023682,2,8.679796267,16,0,2.923910238,16,0,6.536029525,0,0,0.099709716,11,1,2.914022663,17,1,8.822695166,7,0,9.721832752,30,1,9.943689764,24,561.5058235
22.02336274,30.69723239,5,506.3568099,0,5.831057573,21,1,7.053066425,26,1,8.381592014,11,0,3.384637512,8,2,8.509063222,28,0,1.479111363,15,1,6.15265368,6,2,2.355466738,21,665.4177533
28.56740208,34.34681327,3,453.4189279,2,7.180141781,28,1,7.354365939,10,0,5.252022002,14,2,3.986343348,19,2,4.584676101,20,0,5.08347096,15,0,1.643406012,26,0,2.391864489,22,1060.504779
18.52310562,53.54961338,2,583.6317938,0,3.720435678,24,2,3.034962318,7,0,2.083269469,10,1,3.3917362,28,2,0.239959458,3,1,6.46965684,11,0,0.205225117,25,1,6.867889684,24,256.0653932
35.05492452,58.79633008,1,513.3260287,1,0.92449517,1,2,3.453439779,0,1,5.246884121,9,1,4.362688611,22,0,4.945862512,4,0,5.168484563,28,2,7.832641988,0,0,8.593574785,13,60.55407004
16.86376609,66.00123289,5,551.5468639,1,4.579002951,22,0,9.910565087,12,1,5.550826014,1,2,6.326662538,20,1,0.845433354,4,1,8.892268916,29,2,0.797047394,15,1,3.870554126,13,640.017686
39.67217342,47.49975472,4,566.7855417,2,3.944793908,21,1,1.019525496,20,0,7.424575642,25,2,1.21128027,15,0,9.853447187,14,1,9.895632818,28,1,1.410509211,15,0,8.756180199,25,431.1799654
34.30611923,71.69891317,5,500.6739959,0,8.670601824,4,1,4.046450284,3,0,2.198829897,28,1,2.726305089,20,2,5.881115705,9,1,1.158346583,22,2,5.748300269,16,2,3.401420207,7,83.88601862
19.96789204,81.60734383,4,437.129421,2,2.439953024,3,0,0.624475312,6,0,3.683103821,3,0,5.07648086,18,1,2.565326176,7,1,1.299549041,25,0,6.035055034,14,1,1.970158796,29,132.5910525
15.13805293,76.79105933,3,102.8592907,2,9.667342275,3,0,8.21078362,13,2,3.640274692,16,0,3.155733082,15,2,5.637176795,25,1,1.303241136,4,0,6.868871186,20,0,3.296388243,25,347.1810696
35.38653571,32.37712952,4,332.9128766,0,9.581381198,5,2,0.923458389,4,2,9.594395957,16,1,9.910853381,8,0,0.768671034,6,1,6.811770961,19,1,3.935140127,8,1,6.093563739,5,306.8384309
32.6714336,58.83041684,3,385.5811493,2,2.476316431,19,2,6.740073565,23,0,4.439449603,27,0,4.31431467,12,0,7.998913043,11,2,3.726760955,5,2,7.73898669,4,0,3.671431593,21,314.7186502
33.2251792,36.29581071,1,252.0151362,1,3.480519555,20,2,0.56483424,27,1,7.550939673,29,2,8.697991536,25,2,9.253280539,29,2,7.333146613,24,2,9.743585996,19,2,6.72893804,6,1276.024777
34.28175867,44.52270095,4,259.0522235,2,8.955557409,12,0,6.728550378,29,0,7.508113814,7,2,8.965098356,4,1,8.744443882,24,1,4.054714729,5,2,2.710949431,7,1,2.369358794,6,503.672571
16.85111629,89.1997556,5,580.5797079,0,9.666222209,21,0,8.430369469,10,1,2.655441848,22,2,8.360069997,21,0,3.417576023,27,2,6.276067213,7,1,7.030286165,28,1,7.00992894,1,381.1613256
23.96164321,38.54973257,3,545.8554326,0,4.434391028,4,2,3.988215269,16,1,5.718696894,13,1,0.468982409,18,2,3.257681196,10,0,7.698580057,16,2,9.284686524,20,0,3.474383632,24,381.7132419
17.89672649,59.93328921,5,524.5895028,1,3.209970456,22,2,5.221264934,4,1,8.943028933,23,1,9.477467316,9,2,0.350876112,12,0,5.482159107,11,2,6.862867626,0,0,4.558683716,3,527.6570946
36.57758565,67.08934406,2,303.0059009,0,5.260940133,24,1,4.01541738,19,0,4.751977195,28,1,1.287425621,6,2,6.514003587,14,1,5.395035905,29,2,6.811094986,6,2,5.577451404,12,93.04800984
30.58245317,72.14789823,3,106.8492752,0,6.877692064,25,1,3.004887586,2,0,9.451175073,3,0,0.344036277,8,1,5.349047842,16,2,0.882343253,21,0,2.237725691,10,0,6.862250032,28,322.0567244
23.27245062,63.57892101,4,140.1111232,1,2.734745154,22,2,8.032634006,4,1,2.144582293,5,1,4.143696079,24,2,4.593463713,21,0,4.107817429,29,1,5.351302003,30,0,2.387136918,9,261.083399
16.58895876,30.58625085,3,256.0981841,2,7.364731746,6,2,2.720025737,25,2,0.741591058,30,1,1.946340328,13,2,9.076309533,21,0,5.457771532,13,0,5.625228436,19,0,8.359455374,8,464.8910618
22.77455804,49.58767849,5,107.8714565,1,0.516573571,19,1,7.229434244,14,2,8.914538731,28,2,1.841965297,14,0,1.678789011,17,0,4.619808257,1,1,7.001295625,25,2,7.218427498,14,839.0825263
23.12958305,61.0626986,1,108.574891,2,0.492944928,0,2,2.061970793,18,2,8.47681198,18,0,2.878196134,12,2,0.096662667,26,0,9.007820002,18,2,9.968214499,20,2,2.34097919,30,476.4326717
33.24015446,35.27198995,3,558.3016508,1,3.862877051,13,1,2.498537961,15,1,9.925898759,26,0,2.484056052,9,1,0.733164521,7,2,9.065306321,5,0,0.336438225,12,1,9.749745626,11,600.9109574
30.93893678,51.03761587,4,453.0792511,2,3.534731921,23,1,3.364611626,7,0,6.793934881,28,2,6.847954022,13,2,2.233714378,5,0,8.219173806,17,2,0.652326613,21,2,6.64796991,26,474.473762
37.18031856,31.99218653,2,254.477995,1,3.156332154,3,1,5.891563774,12,1,9.366879267,23,0,1.867773066,25,1,0.332855493,10,0,3.752980754,3,2,0.779500694,12,0,4.524268865,30,242.5224119
26.80537313,34.71470983,1,166.3222888,2,4.910197627,16,0,4.544223192,15,2,8.269490251,3,1,5.431183052,20,2,5.028437106,28,0,7.172991517,21,1,7.429791345,6,1,1.575273256,9,616.435216
17.98985615,53.81539657,2,355.8178589,1,3.207335823,20,0,7.451448098,2,0,8.444263331,2,0,9.864265461,22,2,3.140904552,25,1,3.952884611,4,2,1.363537951,10,2,5.332210023,18,-85.80476214
32.83111968,37.96294524,3,102.6730804,2,1.922579185,13,2,2.135673003,0,1,5.691415705,19,2,4.32382421,28,2,1.804830081,8,0,2.32593599,5,0,6.224518745,17,2,1.647758868,20,521.2905992
34.01962622,64.0524509,5,569.2068719,1,3.094695491,15,1,0.106722878,8,1,3.823645979,5,0,6.418731088,11,1,7.500840749,25,0,3.429026436,14,1,3.246688779,30,0,4.294916787,4,335.488678
29.03192994,71.36789815,5,307.4075597,0,9.749042728,13,0,7.765574718,30,2,9.345580725,26,2,9.693716777,27,0,2.044513262,4,2,0.709646333,5,1,4.573199562,29,0,4.087125227,6,904.6112183
34.2741795,78.03520195,4,301.1674776,2,4.11113417,15,2,8.216493339,8,1,4.321171756,22,1,1.37638998,28,1,6.87605101,6,0,3.31777509,7,0,2.156631598,30,2,7.199396443,27,461.894634
27.34488991,42.00901465,5,295.2968038,1,4.447127769,23,2,0.594801631,21,0,5.388193672,6,1,4.186070093,18,0,3.492649058,21,0,4.607422173,8,2,8.661065613,0,1,1.923831812,19,87.79798056
28.06832073,40.04895494,1,134.6641652,2,5.7654499,19,2,6.109075222,25,2,4.461143071,13,2,8.501924002,5,1,5.118277607,26,0,9.554808948,20,2,5.861503242,11,0,8.218713549,10,890.8416419
